BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
0.001971,1,16K,gzip,HDFS,0.018926,0.003312,0.002456,16383,2214.0,5957.0,0.340656,0.353864,0.045933,5844,6,138,5857
0.001971,1,16K,deflate,HDFS,0.018926,0.009536,0.008227,16383,2299.0,16308.0,0.651456,0.651984,0.045933,5844,6,138,5857
0.001971,1,16K,lz4,HDFS,0.018926,0.004003,0.00334,16383,3617.0,6722.0,0.350813,0.363157,0.045933,5844,6,138,5857
0.001971,10,16K,gzip,HDFS,0.021549,0.003646,0.002737,16335,3189.0,5800.0,0.201827,0.182292,0.047449,4451,3,282,6619
0.001971,10,16K,deflate,HDFS,0.021549,0.009443,0.006139,16335,3259.0,11501.0,0.354691,0.350398,0.047449,4451,3,282,6619
0.001971,10,16K,lz4,HDFS,0.021549,0.003247,0.003499,16335,5268.0,8095.0,0.196887,0.205979,0.047449,4451,3,282,6619
0.001971,2,16K,gzip,HDFS,0.021938,0.00342,0.002456,16326,2087.0,3929.0,0.147502,0.153868,0.046554,3991,2,199,8590
0.001971,2,16K,deflate,HDFS,0.021938,0.00901,0.007614,16326,2298.0,8481.0,0.281578,0.267423,0.046554,3991,2,199,8590
0.001971,2,16K,lz4,HDFS,0.021938,0.00376,0.003324,16326,3398.0,5171.0,0.158516,0.150777,0.046554,3991,2,199,8590
0.001971,4,16K,gzip,HDFS,0.024347,0.00332,0.002432,16349,1318.0,2403.0,0.074741,0.082689,0.047406,7070,1,126,5093
0.001971,4,16K,deflate,HDFS,0.024347,0.008574,0.007129,16349,1469.0,4787.0,0.158818,0.15595,0.047406,7070,1,126,5093
0.001971,4,16K,lz4,HDFS,0.024347,0.004091,0.004174,16349,2197.0,3369.0,0.075323,0.087292,0.047406,7070,1,126,5093
0.001971,22,16K,gzip,HDFS,0.022558,0.003379,0.002426,16331,3270.0,5892.0,0.193218,0.201429,0.048697,4263,3,295,6834
0.001971,22,16K,deflate,HDFS,0.022558,0.009897,0.007679,16331,3340.0,11547.0,0.36772,0.346772,0.048697,4263,3,295,6834
0.001971,22,16K,lz4,HDFS,0.022558,0.002832,0.00278,16331,5236.0,8205.0,0.193326,0.216303,0.048697,4263,3,295,6834
0.001971,3,16K,gzip,HDFS,0.020544,0.003315,0.00241,16339,1305.0,2398.0,0.074795,0.0815,0.044541,7070,1,116,5083
0.001971,3,16K,deflate,HDFS,0.020544,0.00846,0.006105,16339,1459.0,4787.0,0.139454,0.1363,0.044541,7070,1,116,5083
0.001971,3,16K,lz4,HDFS,0.020544,0.00451,0.004365,16339,2115.0,3346.0,0.083903,0.083472,0.044541,7070,1,116,5083
0.001971,53,16K,gzip,HDFS,0.018434,0.003014,0.002451,16331,1342.0,2438.0,0.069704,0.084126,0.042074,7070,1,127,5075
0.001971,53,16K,deflate,HDFS,0.018434,0.008533,0.007886,16331,1477.0,4825.0,0.154399,0.144557,0.042074,7070,1,127,5075
0.001971,53,16K,lz4,HDFS,0.018434,0.003211,0.003149,16331,2179.0,3431.0,0.082535,0.087467,0.042074,7070,1,127,5075
0.001971,11,16K,gzip,HDFS,0.017229,0.003397,0.002407,16363,3247.0,5879.0,0.196592,0.196855,0.042909,4329,3,267,6456
0.001971,11,16K,deflate,HDFS,0.017229,0.00741,0.005453,16363,3334.0,11569.0,0.378932,0.356483,0.042909,4329,3,267,6456
0.001971,11,16K,lz4,HDFS,0.017229,0.003896,0.004236,16363,5194.0,8356.0,0.192213,0.208667,0.042909,4329,3,267,6456
0.001971,55,16K,gzip,HDFS,0.018985,0.003341,0.002411,16262,2040.0,5673.0,0.336644,0.327849,0.045696,5621,5,129,5535
0.001971,55,16K,deflate,HDFS,0.018985,0.009732,0.006703,16262,2169.0,15453.0,0.647423,0.621269,0.045696,5621,5,129,5535
0.001971,55,16K,lz4,HDFS,0.018985,0.00407,0.004608,16262,3591.0,6267.0,0.359456,0.361854,0.045696,5621,5,129,5535
0.001971,56,16K,gzip,HDFS,0.01364,0.003356,0.002437,16348,1334.0,2429.0,0.076899,0.081041,0.036635,7070,1,129,5092
0.001971,56,16K,deflate,HDFS,0.01364,0.008428,0.006356,16348,1471.0,4814.0,0.151033,0.143049,0.036635,7070,1,129,5092
0.001971,56,16K,lz4,HDFS,0.01364,0.004665,0.004351,16348,2183.0,3412.0,0.087848,0.081675,0.036635,7070,1,129,5092
0.001971,51,16K,gzip,HDFS,0.018491,0.003599,0.002863,16358,2272.0,6018.0,0.339684,0.330485,0.045271,5414,5,151,6156
0.001971,51,16K,deflate,HDFS,0.018491,0.009898,0.006467,16358,2388.0,16057.0,0.622265,0.613436,0.045271,5414,5,151,6156
0.001971,51,16K,lz4,HDFS,0.018491,0.003729,0.0041,16358,3764.0,6983.0,0.360952,0.362725,0.045271,5414,5,151,6156
0.001971,34,16K,gzip,HDFS,0.018971,0.003328,0.002391,16359,2159.0,5915.0,0.326872,0.339675,0.045782,5651,5,148,5966
0.001971,34,16K,deflate,HDFS,0.018971,0.010082,0.008125,16359,2293.0,15952.0,0.606327,0.61691,0.045782,5651,5,148,5966
0.001971,34,16K,lz4,HDFS,0.018971,0.003651,0.003838,16359,3614.0,6788.0,0.34907,0.365129,0.045782,5651,5,148,5966
0.001971,54,16K,gzip,HDFS,0.023175,0.003322,0.002428,16325,2085.0,5800.0,0.339208,0.35064,0.050377,5512,6,127,5968
0.001971,54,16K,deflate,HDFS,0.023175,0.010175,0.00695,16325,2222.0,16130.0,0.649519,0.645842,0.050377,5512,6,127,5968
0.001971,54,16K,lz4,HDFS,0.023175,0.003771,0.003648,16325,3545.0,6518.0,0.3499,0.368647,0.050377,5512,6,127,5968
0.001971,29,16K,gzip,HDFS,0.019083,0.003325,0.002323,16331,2238.0,6129.0,0.341413,0.344392,0.046241,5633,6,155,6084
0.001971,29,16K,deflate,HDFS,0.019083,0.00963,0.008426,16331,2349.0,16479.0,0.647641,0.640027,0.046241,5633,6,155,6084
0.001971,29,16K,lz4,HDFS,0.019083,0.003449,0.00309,16331,3693.0,6961.0,0.34154,0.358069,0.046241,5633,6,155,6084
