ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
67,16K,deflate,Thunderbird,0.018722,0.019975,16250,1795.0,65575.0,8.525728,8.51081,9.868034,5146,15,37,6206
67,16K,lz4,Thunderbird,0.015188,0.015359,16250,2476.0,15065.0,6.981543,6.969492,9.868034,5146,15,37,6206
49,16K,gzip,Thunderbird,0.013824,0.015021,16261,2175.0,13426.0,4.758745,4.750018,13.158915,7101,19,43,1634
49,16K,deflate,Thunderbird,0.020013,0.018911,16261,2259.0,45216.0,5.824844,5.775723,13.158915,7101,19,43,1634
49,16K,lz4,Thunderbird,0.017455,0.016971,16261,3574.0,11346.0,4.804018,4.823795,13.158915,7101,19,43,1634
90,16K,gzip,Thunderbird,0.013785,0.01526,16325,2896.0,19806.0,7.525716,7.610621,6.147025,5050,91,114,2215
90,16K,deflate,Thunderbird,0.018626,0.018379,16325,2964.0,69910.0,9.322378,9.340101,6.147025,5050,91,114,2215
90,16K,lz4,Thunderbird,0.015747,0.015698,16325,4123.0,14390.0,7.792667,7.749502,6.147025,5050,91,114,2215
96,16K,gzip,Thunderbird,0.013876,0.014864,16256,2788.0,16216.0,6.037126,6.047217,7.280098,5545,84,120,1639
96,16K,deflate,Thunderbird,0.02226,0.017058,16256,2876.0,56432.0,7.400444,7.406528,7.280098,5545,84,120,1639
96,16K,lz4,Thunderbird,0.016149,0.017607,16256,4077.0,12653.0,6.124986,6.232183,7.280098,5545,84,120,1639
11,16K,gzip,Thunderbird,0.013934,0.015989,16373,1821.0,3696.0,0.975941,0.966664,7.26393,5292,6,67,2855
11,16K,deflate,Thunderbird,0.018725,0.018546,16373,1852.0,10434.0,1.184187,1.155013,7.26393,5292,6,67,2855
11,16K,lz4,Thunderbird,0.0166,0.016204,16373,3045.0,4661.0,0.995785,0.978018,7.26393,5292,6,67,2855
36,16K,gzip,Thunderbird,0.013979,0.014644,16326,1475.0,11644.0,4.34682,4.37258,6.139101,4950,24,41,1987
36,16K,deflate,Thunderbird,0.01873,0.018989,16326,1618.0,40909.0,5.216912,5.269178,6.139101,4950,24,41,1987
36,16K,lz4,Thunderbird,0.014138,0.015285,16326,2387.0,9607.0,4.439432,4.394448,6.139101,4950,24,41,1987
16,16K,gzip,Thunderbird,0.013824,0.015728,16368,3080.0,15364.0,5.651447,5.669328,6.465446,5383,79,144,1825
16,16K,deflate,Thunderbird,0.019475,0.020575,16368,3148.0,53273.0,6.928357,6.883013,6.465446,5383,79,144,1825
16,16K,lz4,Thunderbird,0.015775,0.01679,16368,4489.0,12002.0,5.803704,5.824815,6.465446,5383,79,144,1825
80,16K,gzip,Thunderbird,0.01373,0.015953,16377,2424.0,12052.0,4.525498,4.471964,6.094391,4629,60,93,2486
80,16K,deflate,Thunderbird,0.017453,0.018862,16377,2473.0,42228.0,5.476665,5.45013,6.094391,4629,60,93,2486
80,16K,lz4,Thunderbird,0.016173,0.017015,16377,3548.0,9952.0,4.599932,4.575996,6.094391,4629,60,93,2486
86,16K,gzip,Thunderbird,0.013816,0.015044,16259,1632.0,12308.0,4.47512,4.506827,8.567504,5967,11,67,5809
86,16K,deflate,Thunderbird,0.017983,0.017948,16259,1737.0,42899.0,5.430275,5.409444,8.567504,5967,11,67,5809
86,16K,lz4,Thunderbird,0.016041,0.014132,16259,2346.0,10402.0,4.537228,4.531532,8.567504,5967,11,67,5809
87,16K,gzip,Thunderbird,0.013863,0.014693,16304,3190.0,13116.0,4.948855,4.98727,6.129748,5683,107,113,1332
87,16K,deflate,Thunderbird,0.021501,0.022085,16304,3262.0,46066.0,6.036272,6.071352,6.129748,5683,107,113,1332
87,16K,lz4,Thunderbird,0.016178,0.014925,16304,4556.0,10139.0,4.989984,5.057909,6.129748,5683,107,113,1332
57,16K,gzip,Thunderbird,0.013762,0.01484,16217,1590.0,7426.0,2.242444,2.234979,9.57187,5797,5,50,6024
57,16K,deflate,Thunderbird,0.017481,0.018369,16217,1713.0,23057.0,2.677296,2.716991,9.57187,5797,5,50,6024
57,16K,lz4,Thunderbird,0.016091,0.015226,16217,2597.0,7446.0,2.27036,2.260458,9.57187,5797,5,50,6024
71,16K,gzip,Thunderbird,0.014517,0.016295,16263,2066.0,8348.0,3.009367,3.032627,6.126107,5715,57,91,1368
71,16K,deflate,Thunderbird,0.021947,0.018001,16263,2148.0,28519.0,3.618757,3.622881,6.126107,5715,57,91,1368
71,16K,lz4,Thunderbird,0.017249,0.013574,16263,2971.0,6840.0,3.049165,3.080161,6.126107,5715,57,91,1368
39,16K,gzip,Thunderbird,0.014051,0.014849,16368,2463.0,10744.0,4.089097,4.085875,6.159234,5118,69,99,2456
