ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
6,256K,deflate,Windows,0.025719,0.007169,262079,18130.0,122418.0,7.475789,7.662025,1.911172,99873,24,381,114780
6,256K,lz4,Windows,0.005808,0.006082,262079,29377.0,37622.0,4.404449,4.487796,1.911172,99873,24,381,114780
51,256K,gzip,Windows,0.006464,0.005035,262119,14610.0,41777.0,3.968207,3.956462,1.724884,100641,23,637,114057
51,256K,deflate,Windows,0.027351,0.007107,262119,14808.0,119739.0,7.043536,7.205541,1.724884,100641,23,637,114057
51,256K,lz4,Windows,0.006194,0.006072,262119,23185.0,41530.0,4.155245,4.253125,1.724884,100641,23,637,114057
85,256K,gzip,Windows,0.006583,0.004778,262112,18715.0,18319.0,0.837279,0.84906,1.597177,100303,5,509,114679
85,256K,deflate,Windows,0.026875,0.007398,262112,18844.0,34909.0,1.44092,1.402388,1.597177,100303,5,509,114679
85,256K,lz4,Windows,0.006926,0.006756,262112,30660.0,25063.0,0.899158,0.916339,1.597177,100303,5,509,114679
76,256K,gzip,Windows,0.006625,0.005096,262032,18712.0,20706.0,0.836693,0.827783,1.59539,100590,5,673,114183
76,256K,deflate,Windows,0.027241,0.00739,262032,18828.0,36616.0,1.386362,1.360068,1.59539,100590,5,673,114183
76,256K,lz4,Windows,0.007298,0.007286,262032,30837.0,29804.0,0.884345,0.903242,1.59539,100590,5,673,114183
87,256K,gzip,Windows,0.006692,0.004763,262111,18927.0,20339.0,1.44409,1.414263,1.617008,100689,9,434,114114
87,256K,deflate,Windows,0.026856,0.007158,262111,18878.0,48604.0,2.518432,2.548713,1.617008,100689,9,434,114114
87,256K,lz4,Windows,0.005073,0.005331,262111,30808.0,24155.0,1.552303,1.568815,1.617008,100689,9,434,114114
78,256K,gzip,Windows,0.006462,0.00458,262141,18919.0,26651.0,2.1408,2.155197,1.631971,100692,16,470,114066
